gems9_emotion,song_name,artist,spotify_id,spotify_uri
Peacefulness,Fields. (feat. Grandad Michael),RAYE,0B3XiJ76SnOBgdcHWikLnE,spotify:track:0B3XiJ76SnOBgdcHWikLnE
Peacefulness,Weightless,Marconi Union,6kkwzB6hXLIONkEk9JciA6,spotify:track:6kkwzB6hXLIONkEk9JciA6
Peacefulness,Weightless Part 1,Marconi Union,2UZZtkoLOg7IHxeTAdPFvd,spotify:track:2UZZtkoLOg7IHxeTAdPFvd
Peacefulness,rollingstones,Sicantricko,02NRDX52wHMxCvhQ7mUJk3,spotify:track:02NRDX52wHMxCvhQ7mUJk3
Power,Powerful,Epic Soul Factory,7j7nASHeGoDwCv7oDu8Nug,spotify:track:7j7nASHeGoDwCv7oDu8Nug
Power,Anthem of Powerful Seraphim,epicmusicstore,50vr0SouW7Y9VptSlXAsOu,spotify:track:50vr0SouW7Y9VptSlXAsOu
Power,Moonlight Sonata Metal,davehill69,6UWrFNLKN7JvDGqTKPWsr4,spotify:track:6UWrFNLKN7JvDGqTKPWsr4
Power,Energetic Powerful Metal,Max-Music,3lAjYTpILqeu4YC6ev3egI,spotify:track:3lAjYTpILqeu4YC6ev3egI
Power,Powerslave (2015 Remaster),Iron Maiden,2Oj9Oqd1npO1TC1NXr4bky,spotify:track:2Oj9Oqd1npO1TC1NXr4bky
Power,Born Savage,PLAVE,21AdIbIIP9cFgwnwEnEl07,spotify:track:21AdIbIIP9cFgwnwEnEl07
Power,We Will Rock You - Remastered 2011,Queen,54flyrjcdnQdco7300avMJ,spotify:track:54flyrjcdnQdco7300avMJ
Power,We Will Rock You - Remastered,Queen,0fqKjdkPyOUS1UGoLVyW0D,spotify:track:0fqKjdkPyOUS1UGoLVyW0D
Power,We Will Rock You (feat. Queen) - Radio Edit,"Five, Queen",2yrKB2EshkmDvO8zoA6GvS,spotify:track:2yrKB2EshkmDvO8zoA6GvS
Power,Killing In The Name,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp
Power,Killing In the Name,Rage Against The Machine,3FUS56gKr9mVBmzvlnodlh,spotify:track:3FUS56gKr9mVBmzvlnodlh
Power,Evermore,Dan Stevens,3Yn97I3qIj7Px0Bi4rkD2q,spotify:track:3Yn97I3qIj7Px0Bi4rkD2q
Joy,Energetic Upbeat Pop,Morninglightmusic,5KMj4vhaIhGx6vLKXc4iS8,spotify:track:5KMj4vhaIhGx6vLKXc4iS8
Joy,Celebrate,"Bracket, Timaya",2wcgbvqVTLL0scs5iJWEcz,spotify:track:2wcgbvqVTLL0scs5iJWEcz
Joy,Live A Little,Chaz Cardigan,4TMVC63HZDYaTGtlhbM95i,spotify:track:4TMVC63HZDYaTGtlhbM95i
Joy,Feel Good Summer Song,Scotty McCreery,3kLStDSdGKfs7AZlGWh295,spotify:track:3kLStDSdGKfs7AZlGWh295
Joy,Feels Like Summer,Samuel Jack,0ZERGmkfuDSrLaIzEGFdiH,spotify:track:0ZERGmkfuDSrLaIzEGFdiH
Joy,Feel Good,Polo & Pan,2UkX27EXS59qpKUXrMTZlK,spotify:track:2UkX27EXS59qpKUXrMTZlK
Joy,"Happy - From ""Despicable Me 2""",Pharrell Williams,60nZcImufyMA1MKQY3dcCH,spotify:track:60nZcImufyMA1MKQY3dcCH
Joy,Happy,"Pharrell Williams, Scott Rogers, Noteservice Wind Ensemble",0eMxgAHmuvoqpLyYQrbKvQ,spotify:track:0eMxgAHmuvoqpLyYQrbKvQ
Joy,Happy - Live,Pharrell Williams,72K0gi3DyEuaW0kPCw0lrO,spotify:track:72K0gi3DyEuaW0kPCw0lrO
Joy,September,"Earth, Wind & Fire",2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs
Joy,September,"Earth, Wind & Fire",3kXoKlD84c6OmIcOLfrfEs,spotify:track:3kXoKlD84c6OmIcOLfrfEs
Joy,"Earth, Wind & Fire",BOYNEXTDOOR,0Tq7v8YAmwdnAYBwyR1pZ4,spotify:track:0Tq7v8YAmwdnAYBwyR1pZ4
Tension,Suspenseful Background,Andreas Roehrig,0RZIfTXmwayTJprBbgRGHB,spotify:track:0RZIfTXmwayTJprBbgRGHB
Tension,Suspenseful Tense,SigmaMusicArt,108xzS2aQgqMrDvveo2JjW,spotify:track:108xzS2aQgqMrDvveo2JjW
Tension,Blues Music,G. Love & Special Sauce,4fUyndBmTsfMmJdwQvf8bT,spotify:track:4fUyndBmTsfMmJdwQvf8bT
Tension,Intense Dark Electronic,Retroactive,13gRCUJJfjfgzi3ikHODPI,spotify:track:13gRCUJJfjfgzi3ikHODPI
Tension,Almost Evil,Infraction,0SUAICuuJQKoNwWM31Lx2T,spotify:track:0SUAICuuJQKoNwWM31Lx2T
