spotifyID,song_name,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness
6WpBbL2UkFz4QQNpQuG9qD,Puscifer - Potions - Deliverance Mix,0.1601095050573349,0.0881500169634819,0.0782027393579483,0.1311081051826477,0.07835787534713745,0.0724489614367485,0.143339604139328,0.16216765344142914,0.08611547946929932
5OBptQtIlGOG94la7qil6c,Genesis - Firth Of Fifth - Remastered 2008,0.10868837684392929,0.0397157147526741,0.09748564660549164,0.007670560386031866,0.02294987067580223,0.14241619408130646,0.15928591787815094,0.2677953541278839,0.15399229526519775
0gmbgwZ8iqyMPmXefof8Yf,Nickelback - How You Remind Me,0.11646559834480286,0.032591402530670166,0.021023284643888474,0.24470621347427368,0.015750844031572342,0.05589994043111801,0.313086599111557,0.13784654438495636,0.06262948364019394
6JnFVmPyJvjnfBag0hhIFa,Muse - Assassin,0.14780762791633606,0.011807850562036037,0.014543496072292328,0.058975912630558014,0.006430123932659626,0.10586754232645035,0.5294046998023987,0.12149506062269211,0.003667607670649886
1MjMpqiHCPQdPUdG44P2U4,SKÁLD - Rún,0.9302059412002563,4.213282954879105e-05,0.00021671342256013304,0.0005311890272423625,0.0010477490723133087,0.0029683373868465424,0.05129612237215042,0.011090976186096668,0.0026008239947259426
62Pp6exz0ywSlBqvNqiY6Z,Wejdene - Anissa,0.34093615412712097,0.03382787108421326,0.027846647426486015,0.09051309525966644,0.024248378351330757,0.11445827037096024,0.18012146651744843,0.15886162221431732,0.029186533764004707
7HctR6dqgzdU9v3LYfDElj,Pitbull - Ten Cuidado,0.005112907849252224,0.02218795195221901,0.0014261017786338925,0.00210794759914279,0.000389905646443367,0.004978343844413757,0.5925700664520264,0.37056419253349304,0.0006627474213019013
3o8czqWldXDDZvZWAMw3Yw,Opeth - Heir Apparent,0.062214430421590805,0.005740873981267214,0.0029026695992797613,0.0206059068441391,0.015546418726444244,0.022267702966928482,0.6747066378593445,0.15043257176876068,0.045582566410303116
3ZxeBONxtfBB7jerhauPpc,Alex Wilson - Boom,6.592762656509876e-05,1.6836371287354268e-05,6.394639967766125e-06,3.492709765851032e-06,1.177756075776415e-06,2.0793115254491568e-05,0.9875052571296692,0.012378676794469357,1.4293965477918391e-06
5ECfzSLi8W8yT8l2l4DkYS,Black Crown Initiate - A Great Mistake,0.0017708821687847376,7.237221871037036e-05,7.458139589289203e-05,0.0002894705394282937,0.00018396963423583657,0.00023863057140260935,0.9911025762557983,0.0012802241835743189,0.004987429361790419
6epn3r7S14KUqlReYr77hA,Justin Bieber - Baby,0.028843285515904427,0.015194978564977646,0.005415479186922312,0.013947595842182636,0.005140071269124746,0.033708177506923676,0.08546311408281326,0.8032035827636719,0.009083662182092667
7ye2H4Sjn4Va8Fny4cDMnb,Shadow of Intent - The Return,0.0015552877448499203,0.0005587299237959087,8.55199177749455e-05,0.00039794566691853106,0.0004167435399722308,0.004233198706060648,0.9783126711845398,0.013951948843896389,0.0004881424247287214
228BxWXUYQPJrJYHDLOHkj,Daddy Yankee - Gasolina,0.07737976312637329,0.02078987844288349,0.13655813038349152,0.10123128443956375,0.02525460720062256,0.035850636661052704,0.4080570936203003,0.1864406019449234,0.0084379268810153
