spotifyid,mp3,spec_npy,n_mels,n_frames
6H717IsF7tMX6VKbjj502T,DataSets\audio\Simon Shaheen - Bashraf Farahfaza.mp3,DataSets\img\Simon Shaheen - Bashraf Farahfaza.npy,128,34295
0W3lnLMzsAPZmqUVlnbcFX,DataSets\audio\Toufic Farroukh - A Night in Damascus.mp3,DataSets\img\Toufic Farroukh - A Night in Damascus.npy,128,25032
6qKmZVQeLR9kyPGNgbsadR,DataSets\audio\Issa Hassan - La joie de Roushen.mp3,DataSets\img\Issa Hassan - La joie de Roushen.npy,128,31759
37PRvaLuH6LQ1RH8ZTVITU,DataSets\audio\Nishtiman - Lawek.mp3,DataSets\img\Nishtiman - Lawek.npy,128,35001
5Se8dgnLTJHKeW5CXQFagI,DataSets\audio\Mihemed Şexo - Ey Felek.mp3,DataSets\img\Mihemed Şexo - Ey Felek.npy,128,38640
0ojxVMbjgnMBHysYrlQjaO,DataSets\audio\Ali Akbar Moradi - Mahjouri.mp3,DataSets\img\Ali Akbar Moradi - Mahjouri.npy,128,42532
2YyqisI67dyjyKRryTMtth,DataSets\audio\Issa Hassan - Bécon-les-Bruyères.mp3,DataSets\img\Issa Hassan - Bécon-les-Bruyères.npy,128,36989
6TBNZonyZbj1UIJJu6ertG,DataSets\audio\Dursan Acar - Delale.mp3,DataSets\img\Dursan Acar - Delale.npy,128,36312
12IvSp1bU5gcx6RRCtkvr0,DataSets\audio\The Kamkars - Har Yakam Bahar.mp3,DataSets\img\The Kamkars - Har Yakam Bahar.npy,128,29612
0RVakKHgqiOZOJSnXq3Sqk,DataSets\audio\Al Turath Ensemble - Dulab Hozam.mp3,DataSets\img\Al Turath Ensemble - Dulab Hozam.npy,128,4918
7fWlu4wDVBbspdWqezWocs,DataSets\audio\Maya Youssef - Hi-Jazz.mp3,DataSets\img\Maya Youssef - Hi-Jazz.npy,128,23951
6JLn8QoqSAqvqy6Je4G27P,,,,
2qUrVEQLiT6PagGJHcM6fX,,,,
1OQuapYpOVDtnPY7K4xrgP,DataSets\audio\Al Turath Ensemble - Taqsim Qanun.mp3,DataSets\img\Al Turath Ensemble - Taqsim Qanun.npy,128,17499
58gg2XzmmeX50c7XQVUpcy,DataSets\audio\Waed Bouhassoun - Yâ nâ'iman.mp3,DataSets\img\Waed Bouhassoun - Yâ nâ'iman.npy,128,48856
0XDlVrqggDH5LYoQpUDltV,,,,
5pqEjS1nz8wvRzgitNI8mk,,,,
7wuMwC1tbCfskyqiMt5yTd,DataSets\audio\Kheireiddine Mkachiche - Bahdja.mp3,DataSets\img\Kheireiddine Mkachiche - Bahdja.npy,128,67066
2dZh0iGwmzUTY8aKWJKMpT,DataSets\audio\Hussam Aliwat - Out of the Blue.mp3,DataSets\img\Hussam Aliwat - Out of the Blue.npy,128,31845
174xSa0dQWMBpJYZmb0pFk,DataSets\audio\Setrak Sarkissian - Boos Shoof.mp3,DataSets\img\Setrak Sarkissian - Boos Shoof.npy,128,14022
1aSwrwHI2WuBrIWWc2SNSS,DataSets\audio\Jan Garbarek - Sebika.mp3,DataSets\img\Jan Garbarek - Sebika.npy,128,18549
3tHOrVk0XFDvaBw7LTTKJe,DataSets\audio\Khaled Mouzanar - La grande marche.mp3,DataSets\img\Khaled Mouzanar - La grande marche.npy,128,10840
0skkPAL5GCC8lTnopb6Hbb,DataSets\audio\Mosavo - Sapurey's Mantra.mp3,DataSets\img\Mosavo - Sapurey's Mantra.npy,128,24019
1q3NQj58dB1HVMt028o1MF,DataSets\audio\Munir Bashir - Dabkâ.mp3,DataSets\img\Munir Bashir - Dabkâ.npy,128,76264
3a7f8uqWVnHaMtz8q1rcdr,DataSets\audio\Munir Bashir - Arabesque.mp3,DataSets\img\Munir Bashir - Arabesque.npy,128,59809
79gi17KK3n95eqru1U6yTG,,,,
7wc3wkDtLObYo4Iu5ywshC,,,,
27obfTHef7okGrDZPgGjmv,,,,
6kK6e9MlE14q1iHYIE06Jc,,,,
0Rk788LDbCBz2j0j8HbMar,DataSets\audio\Naseer Shamma - Min adh-Dhâkira.mp3,DataSets\img\Naseer Shamma - Min adh-Dhâkira.npy,128,53576
4PQcpuXtjA1OGO9tcnbDSH,DataSets\audio\Rahim AlHaj - Taqsīm Maqām Ājam.mp3,DataSets\img\Rahim AlHaj - Taqsīm Maqām Ājam.npy,128,41207
21FoPJ0XKfnKwnxIsf69wi,DataSets\audio\Moutribia - Tchambar 'Iraq.mp3,DataSets\img\Moutribia - Tchambar 'Iraq.npy,128,18572
3W8O3KKHnSuD9eU0jGHv5C,DataSets\audio\Nawaris - Les mouettes.mp3,DataSets\img\Nawaris - Les mouettes.npy,128,32804
0yVudRHRg77hP1rEEwp51e,DataSets\audio\Rahim AlHaj - Time to Have Fun.mp3,DataSets\img\Rahim AlHaj - Time to Have Fun.npy,128,22015
6to1qA88JlcGTWLv0cvvru,DataSets\audio\Ahmed Mukhtar - Doulab Mukhtar.mp3,DataSets\img\Ahmed Mukhtar - Doulab Mukhtar.npy,128,5809
3feXhhA5ARBStrrZIq5XAm,DataSets\audio\Nawaris - Raksat Cello.mp3,DataSets\img\Nawaris - Raksat Cello.npy,128,21030
4VcJUuPQJTCupNHevlxW8R,DataSets\audio\Osama Abdulrasol Quintet - El Burjain.mp3,DataSets\img\Osama Abdulrasol Quintet - El Burjain.npy,128,21318
0TW2XLh5ONMOpA6Mf4JXSp,DataSets\audio\Rahim AlHaj - Taqsīm Maqām Hijaz.mp3,DataSets\img\Rahim AlHaj - Taqsīm Maqām Hijaz.npy,128,16501
4TIB1KsGYbx1nogXgeGLEJ,DataSets\audio\Rahim AlHaj - A Gift from a Sufi Soul.mp3,DataSets\img\Rahim AlHaj - A Gift from a Sufi Soul.npy,128,54888
3TdWv4oZvTiDsFb71RryPq,DataSets\audio\Naseer Shamma - Ughniya'irâqiyya.mp3,DataSets\img\Naseer Shamma - Ughniya'irâqiyya.npy,128,46730
3Ter5oa5CrXYIlznClc0x5,,,,
5MUgBNGDvej9S3z65uRYvl,DataSets\audio\Traditional - Iraqi Cafe.mp3,DataSets\img\Traditional - Iraqi Cafe.npy,128,31772
15tXEvJGaHZaRDN7s0KvjT,DataSets\audio\Traditional - Segah.mp3,DataSets\img\Traditional - Segah.npy,128,21895
1RmBztBCZbLt8OIqbtK6gF,DataSets\audio\Joce Mienniel - Caravan of Horses.mp3,DataSets\img\Joce Mienniel - Caravan of Horses.npy,128,80072
4sGIAKF9ZebdeemB9mWy1V,DataSets\audio\Junoon - Heer.mp3,DataSets\img\Junoon - Heer.npy,128,28541
6vFTcJ2nUXuJIIy5wtF4Dx,DataSets\audio\The Badila Ensemble - Navaee.mp3,DataSets\img\The Badila Ensemble - Navaee.npy,128,42986
4rugjFRLbZb2IQs0UhhBrh,DataSets\audio\Smadar Levi - Ghali Ya Bouy.mp3,DataSets\img\Smadar Levi - Ghali Ya Bouy.npy,128,33452
6kImA90CJMatZyEKJPwx8O,DataSets\audio\Hossein Farjami - Jahromi (Iran).mp3,DataSets\img\Hossein Farjami - Jahromi (Iran).npy,128,22872
7dAiCpxN4cScoE5npxiINM,DataSets\audio\Hussam Aliwat - Gently Wild.mp3,DataSets\img\Hussam Aliwat - Gently Wild.npy,128,33535
0P7PCkKyY7iINIWOY8i6wT,,,,
04F7Y1amF3e3PJQTBNNuHz,DataSets\audio\Antranik Askarian - Song of Complaint.mp3,DataSets\img\Antranik Askarian - Song of Complaint.npy,128,451348
6QcdpaUxTXQKYBeGwDnIPZ,,,,
5dlAGQZdBI3mbOLzAgbevb,DataSets\audio\Emad Sayyah - Tabbel Tabbel.mp3,DataSets\img\Emad Sayyah - Tabbel Tabbel.npy,128,18183
14rtSRzEsu2xOOVtv9pqHK,DataSets\audio\Rabih Abou-Khalil - Q-Tips.mp3,DataSets\img\Rabih Abou-Khalil - Q-Tips.npy,128,27412
4rSMILvr9UZ0K2tjcAd7jz,DataSets\audio\Yolla Khalife - Mann Ana (feat. Sary Khalife).mp3,DataSets\img\Yolla Khalife - Mann Ana (feat. Sary Khalife).npy,128,42171
3cq0j3OQ2iSlbvyQxBsmol,DataSets\audio\Imane Homsy - Sara.mp3,DataSets\img\Imane Homsy - Sara.npy,128,24972
6ZEmjcKnZvbWV2qBvDR3rm,DataSets\audio\Rabih Abou-Khalil - Dreams Of A Dying City.mp3,DataSets\img\Rabih Abou-Khalil - Dreams Of A Dying City.npy,128,73100
6vioGmo7SKra80FKdfo8o6,DataSets\audio\Rim Banna - A Rose in the Battlefield.mp3,DataSets\img\Rim Banna - A Rose in the Battlefield.npy,128,24118
2XKHS9QIMw9QJ1hYeW9kNw,DataSets\audio\Marwan Abado - Flotte lotte.mp3,DataSets\img\Marwan Abado - Flotte lotte.npy,128,38078
1AlPA6TQ6yHYetqgPuAmUC,DataSets\audio\Nizar Rohana Trio - Dalya.mp3,DataSets\img\Nizar Rohana Trio - Dalya.npy,128,39768
2fR9oemdW4IRBxbzr1izHp,DataSets\audio\Ramzi Aburedwan - Sans Adresse.mp3,DataSets\img\Ramzi Aburedwan - Sans Adresse.npy,128,36163
5coueTpjwJaxqX3L3O4JdP,,,,
6Y2qQjwjjs1e0bvI5ANLee,DataSets\audio\Ramzi Aburedwan - Bahar.mp3,DataSets\img\Ramzi Aburedwan - Bahar.npy,128,30965
6NX4Dir73H4psL6kyWCfVO,DataSets\audio\Ahmad Al Khatib - Sifr El-Khuruj I - Musa.mp3,DataSets\img\Ahmad Al Khatib - Sifr El-Khuruj I - Musa.npy,128,25834
6kJrQzcIN8WPiQT2p5pO9c,DataSets\audio\Ramzi Aburedwan - Samai Farah Faza.mp3,DataSets\img\Ramzi Aburedwan - Samai Farah Faza.npy,128,42412
