spotifyid,mp3,spec_npy,n_mels,n_frames
4mQeN215yLkfsp4FtibFIV,,,,
0bgU12wnOBsOSKwYALZaNt,"DataSets\audio\Francis Poulenc - 4 Motets pour un temps de pénitence, FP 97_ No. 1, Timore et tremor.mp3","DataSets\img\Francis Poulenc - 4 Motets pour un temps de pénitence, FP 97_ No. 1, Timore et tremor.npy",128,91057
5LHdiHe2STOGLqCsmvE8J5,DataSets\audio\Veljo Tormis - Mardilaulud_ V. Lausumine (Martinmas Songs) [Casting a Spell].mp3,DataSets\img\Veljo Tormis - Mardilaulud_ V. Lausumine (Martinmas Songs) [Casting a Spell].npy,128,8680
51LyQ6hNUA8SYfgUaWyFd6,,,,
0gut4KjRdBjFWh6Ntqsr2p,"DataSets\audio\Olli Kortekangas - 3 Fiord Sketches_ No. 2, Sun and Moon.mp3","DataSets\img\Olli Kortekangas - 3 Fiord Sketches_ No. 2, Sun and Moon.npy",128,16880
0ehijscn7nA2lK0595kXJG,DataSets\audio\Francis Poulenc - Un soir de neige FP 126 (Kantate)_ No. 3 Bois meurtri.mp3,DataSets\img\Francis Poulenc - Un soir de neige FP 126 (Kantate)_ No. 3 Bois meurtri.npy,128,14466
1FOyn8GnJaaEeaSBeHIA1s,"DataSets\audio\Johannes Brahms - 12 Lieder und Romanzen, Op. 44_ No. 1, Minnelied.mp3","DataSets\img\Johannes Brahms - 12 Lieder und Romanzen, Op. 44_ No. 1, Minnelied.npy",128,7943
3ZjI5q4WOJyVD7r4gfhEhv,"DataSets\audio\Antonín Dvořák - 13 Moravian Songs, Op. 32_ IV. Parting without Sorrow.mp3","DataSets\img\Antonín Dvořák - 13 Moravian Songs, Op. 32_ IV. Parting without Sorrow.npy",128,7105
4GTPd683y4bmn0PRc9WjEr,"DataSets\audio\Juan-Alfonso Garcia - 7 Proverbios_ No. 1, Entre el vivir el soñar.mp3","DataSets\img\Juan-Alfonso Garcia - 7 Proverbios_ No. 1, Entre el vivir el soñar.npy",128,5349
7vXHGrMdYNF0tiifMt53Dy,"DataSets\audio\Juan-Alfonso Garcia - 7 Proverbios_ No. 4, Qué difficil es.mp3","DataSets\img\Juan-Alfonso Garcia - 7 Proverbios_ No. 4, Qué difficil es.npy",128,2084
5hyYKS4UlJGZjzF3IoaGLJ,"DataSets\audio\Juan-Alfonso Garcia - 7 Proverbios_ No. 7, Tartarín.mp3","DataSets\img\Juan-Alfonso Garcia - 7 Proverbios_ No. 7, Tartarín.npy",128,5349
5dYIevXJe86lA0Ov1mmh7T,"DataSets\audio\Juan-Alfonso Garcia - 6 Caprichos_ No. 3, Crótalo.mp3","DataSets\img\Juan-Alfonso Garcia - 6 Caprichos_ No. 3, Crótalo.npy",128,5349
2TU95hgoGKts0OOxPMjvrl,DataSets\audio\Rodolfo Halffter - Epitafio de Dulcinea.mp3,DataSets\img\Rodolfo Halffter - Epitafio de Dulcinea.npy,128,21211
7wbxjBoWQQL7wsS6EEgOJw,DataSets\audio\Rodolfo Halffter - Epitafio de Sancho Panza.mp3,DataSets\img\Rodolfo Halffter - Epitafio de Sancho Panza.npy,128,21211
152YAX7PjfzSL8YQOTXe5f,"DataSets\audio\Juan-Alfonso Garcia - 7 Proverbios_ No. 3, Despacito y buena letra.mp3","DataSets\img\Juan-Alfonso Garcia - 7 Proverbios_ No. 3, Despacito y buena letra.npy",128,5349
5sqYrTCTqA1IWjgKv4vxOt,"DataSets\audio\Juan-Alfonso Garcia - Amarillos_ No. 1, Plenitud dorada.mp3","DataSets\img\Juan-Alfonso Garcia - Amarillos_ No. 1, Plenitud dorada.npy",128,5349
